0 0
1 4
2 7
3 10
4 12
5 13
6 14
7 16
8 17
9 22
10 23
11 24
12 26
13 27
14 29
15 30
16 31
17 36
18 38
19 42
20 44
21 45
22 46
23 47
24 48
25 49
26 54
27 56
28 65
29 67
30 78
31 82
32 84
33 97
34 100
35 102
36 104
37 105
38 106
39 107
40 109
41 110
42 112
43 115
44 117
45 119
46 122
47 124
48 127
49 131
50 135
51 136
52 138
53 139
54 141
55 146
56 148
57 153
58 156
59 157
60 159
61 161
62 163
63 164
64 165
65 166
66 168
67 169
68 170
69 171
70 172
71 173
72 174
73 176
74 178
75 179
76 181
77 184
78 195
79 200
80 202
81 204
82 211
83 213
84 215
85 218
86 220
87 222
88 229
89 231
90 233
91 234
92 236
93 237
94 238
95 239
96 241
97 242
98 243
99 245
100 246
101 248
102 249
103 251
104 252
105 253
106 254
107 255
