dx 0.125000
dy 0.125000
numResidualPts 5
numStatePts 23
1 0.312500 0.062500 0 0.187500 0.062500 5 0.312500 0.187500 2 0.437500 0.062500 22 0.312500 0.937500 
7 0.937500 0.187500 6 0.812500 0.187500 10 0.937500 0.312500 4 0.062500 0.187500 3 0.937500 0.062500 
9 0.812500 0.312500 8 0.687500 0.312500 11 0.812500 0.437500 10 0.937500 0.312500 6 0.812500 0.187500 
15 0.937500 0.562500 14 0.812500 0.562500 17 0.937500 0.687500 13 0.062500 0.562500 12 0.937500 0.437500 
18 0.062500 0.812500 20 0.937500 0.812500 21 0.062500 0.937500 19 0.187500 0.812500 16 0.062500 0.687500 
